Domain,Certificate Score,Protocol Score,Key Score,Cipher Score,Overall Grade
garena.vn,100,100,100,100,A+,
patech.vn,100,100,100,100,A+,
onemall.vn,100,90,100,0,E,
nhac.vn,100,80,100,100,A+,
ictnews.vn,100,90,100,70,A,
muaxegiatot.vn,100,80,100,100,A+,
nhipcaudautu.vn,100,70,100,70,B,
phanquang.vn,100,70,100,70,B,
dred.vn,100,100,100,100,A+,
kontum.gov.vn,100,70,100,0,E,
vietthuongshop.vn,100,100,100,100,A+,
dak.edu.vn,100,80,100,100,A+,
uhm.vn,100,100,100,100,A+,
vinhomes.vn,100,80,100,100,A+,
ndh.vn,100,80,100,100,A+,
ngoisao.vn,100,70,100,70,B,
mbbank.com.vn,100,70,100,70,B,
zvps.vn,100,100,100,100,A+,
vietads.com.vn,100,90,100,100,A+,
vpbank.com.vn,100,90,100,70,A,
longbien.gov.vn,100,70,100,70,B,
5ssoft.vn,100,90,100,70,A,
vnpt.com.vn,100,70,100,70,B,
fpt.vn,100,70,100,0,E,
mesco.com.vn,100,100,100,100,A+,
dichvucong.gov.vn,100,70,100,70,B,
vjde.vn,100,100,100,100,A+,
dienmaycholon.vn,100,90,100,70,A,
vnreview.vn,100,100,100,100,A+,
evn.com.vn,100,90,100,70,A,
phongvu.vn,100,80,100,100,A+,
hcmuaf.edu.vn,100,90,100,70,A,
hnue.edu.vn,100,70,100,70,B,
bongdanet.vn,100,80,100,100,A+,
tailieu.vn,100,70,100,70,B,
vietnamtimes.org.vn,100,80,100,100,A+,
theleader.vn,100,70,100,70,B,
pecsi.vn,100,100,100,100,A+,
topcv.vn,100,80,100,100,A+,
sacombank.com.vn,100,90,100,0,E,
gialai.gov.vn,100,100,100,100,A+,
caobang.gov.vn,100,70,100,0,E,
dongyphuckhangan.vn,100,90,100,0,E,
nganhangvietnam.com.vn,100,90,100,0,E,
mobifone.vn,100,100,100,100,A+,
2sao.vn,100,70,100,70,B,
monre.gov.vn,100,70,100,70,B,
vnptigate.vn,100,90,100,0,E,
hocmai.vn,100,70,100,70,B,
thoibaotaichinhvietnam.vn,100,70,100,70,B,
bongda.com.vn,100,70,100,70,B,
bizlive.vn,100,100,100,100,A+,
labety.vn,100,90,100,70,A,
websosanh.vn,100,100,100,100,A+,
