Domain,Certificate Score,Protocol Score,Key Score,Cipher Score,Overall Grade
cinemaonline.sg,100,70,100,70,B,
megafurniture.sg,100,100,100,100,A+,
mot.gov.sg,100,90,100,70,A,
straitstimes.com.sg,100,90,100,0,E,
greatdeals.com.sg,100,80,100,100,A+,
companies.sg,100,80,100,100,A+,
aclass.com.sg,100,100,100,100,A+,
siac.org.sg,100,80,100,100,A+,
sgdivorcelawyer.sg,100,100,100,100,A+,
beautyinsider.sg,100,80,100,100,A+,
judiciary.gov.sg,100,90,100,70,A,
annals.edu.sg,100,80,100,100,A+,
ywlc.org.sg,100,100,100,100,A+,
aware.org.sg,100,80,100,100,A+,
ncss.gov.sg,100,90,100,70,A,
freelancer.sg,100,90,100,0,E,
tutorcity.sg,100,100,100,100,A+,
huifok.sg,100,100,100,100,A+,
short.sg,100,100,100,100,A+,
decathlon.sg,100,100,100,100,A+,
lentor-hill-residences.sg,100,100,100,100,A+,
srmc.edu.sg,100,100,100,100,A+,
rtcompliance.sg,100,100,100,100,A+,
onemotoring.com.sg,100,100,100,100,A+,
simge.edu.sg,100,100,100,100,A+,
nafa.edu.sg,100,100,100,100,A+,
qvcredit.sg,100,100,100,100,A+,
axa.com.sg,100,90,100,0,E,
motorist.sg,100,80,100,100,A+,
sbf.org.sg,100,80,100,100,A+,
mci.gov.sg,100,90,100,0,E,
nylon.com.sg,100,100,100,100,A+,
singaporebudget.gov.sg,100,90,100,70,A,
buro247.sg,100,80,100,100,A+,
desertcart.sg,100,80,100,100,A+,
omy.sg,100,80,100,100,A+,
beritaharian.sg,100,90,100,70,A,
thinkchina.sg,100,90,100,70,A,
beyond.org.sg,100,100,100,100,A+,
fastjobs.sg,100,100,100,100,A+,
gleneagles.com.sg,100,90,100,70,A,
healthprofessionals.gov.sg,100,90,100,70,A,
ssg-wsg.gov.sg,100,90,100,70,A,
infox.sg,100,100,100,100,A+,
floristique.sg,100,100,100,100,A+,
fas.org.sg,100,80,100,100,A+,
ttsh.com.sg,100,90,100,70,A,
ecda.gov.sg,100,90,100,70,A,
ezbuy.sg,100,90,100,70,A,
sportsingapore.gov.sg,100,90,100,70,A,
philippine-embassy.org.sg,100,100,100,100,A+,
isca.org.sg,100,100,100,100,A+,
uwcsea.edu.sg,100,100,100,100,A+,
skillsfuture.gov.sg,100,90,100,70,A,
sso.org.sg,100,70,100,70,B,
fulcrum.sg,100,90,100,70,A,
budgetdirect.com.sg,100,100,100,100,A+,
underarmour.com.sg,100,90,100,70,A,
yelp.com.sg,100,100,100,100,A+,
jumboseafood.com.sg,100,90,100,70,A,
cdl.com.sg,100,100,100,100,A+,
commercialguru.com.sg,100,100,100,100,A+,
lender.sg,100,80,100,100,A+,
